Name,Path,Position,"Is Active","Url Key",Description,Image,"Page Title","Meta Keywords","Meta Description","Include In Menu","Display Mode","CMS Block","Is Anchor","Availabe Sort By","Default Sort By","Page Layout","Custom Layout Update"
DRAWING,"Default Category/CATEGORIES/ART",1,Yes,drawing,,,,,,Yes,"Products only",,No,,,"No layout updates",
FIGURATIVE,"Default Category/CATEGORIES/ART/DRAWING",1,Yes,figurative,,,,,,Yes,"Products only",,No,,,"No layout updates",
PRINT,"Default Category/CATEGORIES/ART",1,Yes,print,,,,,,Yes,"Products only",,No,,,"No layout updates",
"ETCHING PRINT","Default Category/CATEGORIES/ART/PRINT",1,Yes,etching-print,,,,,,Yes,"Products only",,No,,,"No layout updates",
"SERIGRAPH PRINT","Default Category/CATEGORIES/ART/PRINT",1,Yes,serigraph-print,,,,,,Yes,"Products only",,No,,,"No layout updates",
LANDSCAPE,"Default Category/CATEGORIES/ART/DRAWING",1,Yes,landscape,,,,,,Yes,"Products only",,No,,,"No layout updates",
"BED LINEN","Default Category/CATEGORIES/DECOR & FURNISHING",1,Yes,bed-linen,,,,,,Yes,"Products only",,No,,,"No layout updates",
"BED SHEET SETS","Default Category/CATEGORIES/DECOR & FURNISHING/BED LINEN",1,Yes,bed-sheet-sets,,,,,,Yes,"Products only",,No,,,"No layout updates",
CUSHIONS,"Default Category/CATEGORIES/DECOR & FURNISHING",1,Yes,cushions,,,,,,Yes,"Products only",,No,,,"No layout updates",
"CUSHION COVERS","Default Category/CATEGORIES/DECOR & FURNISHING/CUSHIONS",1,Yes,cushion-covers,,,,,,Yes,"Products only",,No,,,"No layout updates",
ALMIRAHS,"Default Category/CATEGORIES/FURNITURE/STORAGE",1,Yes,almirahs,,,,,,Yes,"Products only",,No,,,"No layout updates",
CABINETS,"Default Category/CATEGORIES/FURNITURE/HOME OFFICE",1,Yes,cabinets,,,,,,Yes,"Products only",,No,,,"No layout updates",
"TV STANDS","Default Category/CATEGORIES/FURNITURE/LIVING ROOM",1,Yes,tv-stands,,,,,,Yes,"Products only",,No,,,"No layout updates",
BEDROOM,"Default Category/CATEGORIES/FURNITURE",1,Yes,bedroom,,,,,,Yes,"Products only",,No,,,"No layout updates",
"BEDSIDE TABLES","Default Category/CATEGORIES/FURNITURE/BEDROOM",1,Yes,bedside-tables,,,,,,Yes,"Products only",,No,,,"No layout updates",
"DINING ROOM","Default Category/CATEGORIES/FURNITURE",1,Yes,dining-room,,,,,,Yes,"Products only",,No,,,"No layout updates",
"DINING CHAIRS","Default Category/CATEGORIES/FURNITURE/DINING ROOM",1,Yes,dining-chairs,,,,,,Yes,"Products only",,No,,,"No layout updates",
"ENTRY WAY","Default Category/CATEGORIES/FURNITURE",1,Yes,entry-way,,,,,,Yes,"Products only",,No,,,"No layout updates",
"CONSOLE TABLES","Default Category/CATEGORIES/FURNITURE/ENTRY WAY",1,Yes,console-tables,,,,,,Yes,"Products only",,No,,,"No layout updates",
"COFFEE TABLES","Default Category/CATEGORIES/FURNITURE/LIVING ROOM",1,Yes,coffee-tables,,,,,,Yes,"Products only",,No,,,"No layout updates",
ARMOIRE,"Default Category/CATEGORIES/FURNITURE/STORAGE",1,Yes,armoire,,,,,,Yes,"Products only",,No,,,"No layout updates",
SERVERWARE,"Default Category/CATEGORIES/DINING",1,Yes,serverware,,,,,,Yes,"Products only",,No,,,"No layout updates",
TRAYS,"Default Category/CATEGORIES/DINING/SERVERWARE",1,Yes,trays,,,,,,Yes,"Products only",,No,,,"No layout updates",
AMBIENT,"Default Category/CATEGORIES/LIGHTING",1,Yes,ambient,,,,,,Yes,"Products only",,No,,,"No layout updates",
"CUSHIONS WITH INSERT","Default Category/CATEGORIES/DECOR & FURNISHING/CUSHIONS",1,Yes,cushions-with-insert,,,,,,Yes,"Products only",,No,,,"No layout updates",
FASHION,"Default Category/CATEGORIES",1,Yes,fashion,,,,,,Yes,"Products only",,No,,,"No layout updates",
WOMEN,"Default Category/CATEGORIES/FASHION",1,Yes,women,,,,,,Yes,"Products only",,No,,,"No layout updates",
INDIAN,"Default Category/CATEGORIES/FASHION/WOMEN",1,Yes,indian,,,,,,Yes,"Products only",,No,,,"No layout updates",
SAREES,"Default Category/CATEGORIES/FASHION/WOMEN/INDIAN",1,Yes,sarees,,,,,,Yes,"Products only",,No,,,"No layout updates",
ACCESSORIES,"Default Category/CATEGORIES/FASHION",1,Yes,accessories,,,,,,Yes,"Products only",,No,,,"No layout updates",
"ACCESSORIES WOMEN","Default Category/CATEGORIES/FASHION/ACCESSORIES",1,Yes,accessories-women,,,,,,Yes,"Products only",,No,,,"No layout updates",
BAGS,"Default Category/CATEGORIES/FASHION/ACCESSORIES/ACCESSORIES WOMEN",1,Yes,bags,,,,,,Yes,"Products only",,No,,,"No layout updates",
"GIFTS & COLLECTIBLES","Default Category/CATEGORIES",1,Yes,gifts-collectibles,,,,,,Yes,"Products only",,No,,,"No layout updates",
"PHONE & MOBILE","Default Category/CATEGORIES/GIFTS & COLLECTIBLES",1,Yes,phone-mobile,,,,,,Yes,"Products only",,No,,,"No layout updates",
COLLECTIBLES,"Default Category/CATEGORIES/GIFTS & COLLECTIBLES",1,Yes,collectibles,,,,,,Yes,"Products only",,No,,,"No layout updates",
ARMOUR,"Default Category/CATEGORIES/GIFTS & COLLECTIBLES/COLLECTIBLES",1,Yes,armour,,,,,,Yes,"Products only",,No,,,"No layout updates",
"ASTRONOMY ","Default Category/CATEGORIES/GIFTS & COLLECTIBLES/COLLECTIBLES",1,Yes,astronomy-,,,,,,Yes,"Products only",,No,,,"No layout updates",
"NAUTICAL ","Default Category/CATEGORIES/GIFTS & COLLECTIBLES/COLLECTIBLES",1,Yes,nautical-,,,,,,Yes,"Products only",,No,,,"No layout updates",
"CUPS & MUGS","Default Category/CATEGORIES/DINING",1,Yes,cups-mugs,,,,,,Yes,"Products only",,No,,,"No layout updates",
TUMBLERS,"Default Category/CATEGORIES/DINING/DRINKWARE",1,Yes,tumblers,,,,,,Yes,"Products only",,No,,,"No layout updates",
OFFICE,"Default Category/CATEGORIES/GIFTS & COLLECTIBLES",1,Yes,office,,,,,,Yes,"Products only",,No,,,"No layout updates",
"VISITING CARD HOLDERS","Default Category/CATEGORIES/GIFTS & COLLECTIBLES/OFFICE",1,Yes,visiting-card-holders,,,,,,Yes,"Products only",,No,,,"No layout updates",
COMPUTERS,"Default Category/CATEGORIES/GIFTS & COLLECTIBLES",1,Yes,computers,,,,,,Yes,"Products only",,No,,,"No layout updates",
"LAPTOP SLEEVES","Default Category/CATEGORIES/GIFTS & COLLECTIBLES/COMPUTERS",1,Yes,laptop-sleeves,,,,,,Yes,"Products only",,No,,,"No layout updates",
TRAVEL,"Default Category/CATEGORIES/GIFTS & COLLECTIBLES",1,Yes,travel,,,,,,Yes,"Products only",,No,,,"No layout updates",
"MOUSE PADS","Default Category/CATEGORIES/GIFTS & COLLECTIBLES/COMPUTERS",1,Yes,mouse-pads,,,,,,Yes,"Products only",,No,,,"No layout updates",
REPRODUCTION,"Default Category/CATEGORIES/ART/PRINT",1,Yes,reproduction,,,,,,Yes,"Products only",,No,,,"No layout updates",
"ACCENT TABLES","Default Category/CATEGORIES/FURNITURE/LIVING ROOM",1,Yes,accent-tables,,,,,,Yes,"Products only",,No,,,"No layout updates",
"DISPLAY SHELVES","Default Category/CATEGORIES/FURNITURE/LIVING ROOM",1,Yes,display-shelves,,,,,,Yes,"Products only",,No,,,"No layout updates",
"CD RACKS","Default Category/CATEGORIES/FURNITURE/LIVING ROOM",1,Yes,cd-racks,,,,,,Yes,"Products only",,No,,,"No layout updates",
STOOLS,"Default Category/CATEGORIES/FURNITURE/LIVING ROOM",1,Yes,stools,,,,,,Yes,"Products only",,No,,,"No layout updates",
"LUGGAGE RACKS","Default Category/CATEGORIES/FURNITURE/STORAGE",1,Yes,luggage-racks,,,,,,Yes,"Products only",,No,,,"No layout updates",
"WALL DECOR","Default Category/CATEGORIES/DECOR & FURNISHING",1,Yes,wall-decor,,,,,,Yes,"Products only",,No,,,"No layout updates",
"WALL HANGINGS","Default Category/CATEGORIES/DECOR & FURNISHING/WALL DECOR",1,Yes,wall-hangings,,,,,,Yes,"Products only",,No,,,"No layout updates",
"CENTREPIECE BOWLS","Default Category/CATEGORIES/DECOR & FURNISHING/HOME ACCESSORIES",1,Yes,centrepiece-bowls,,,,,,Yes,"Products only",,No,,,"No layout updates",
VASES,"Default Category/CATEGORIES/DECOR & FURNISHING/CANDLES & VASES",1,Yes,vases,,,,,,Yes,"Products only",,No,,,"No layout updates",
"TABLE & TASK LAMPS","Default Category/CATEGORIES/LIGHTING",1,Yes,table-task-lamps,,,,,,Yes,"Products only",,No,,,"No layout updates",
