Name,Path,Position,"Is Active","Url Key",Description,Image,"Page Title","Meta Keywords","Meta Description","Include In Menu","Display Mode","CMS Block","Is Anchor","Availabe Sort By","Default Sort By","Page Layout","Custom Layout Update"
PAINTING,"GALERIE ART ETERNE root/CATEGORIES",1,Yes,painting,,,,,,Yes,"Products only",,No,,,"No layout updates",
PRINT,"Default Category/CATEGORIES/ART",1,Yes,print,,,,,,Yes,"Products only",,No,,,"No layout updates",
"ETCHING PRINT","Default Category/CATEGORIES/ART/PRINT",1,Yes,etching-print,,,,,,Yes,"Products only",,No,,,"No layout updates",
"LIMITED EDITION PRINT","GALERIE ART ETERNE root/CATEGORIES",1,Yes,limited-edition-print,,,,,,Yes,"Products only",,No,,,"No layout updates",
"SERIGRAPH PRINT","Default Category/CATEGORIES/ART/PRINT",1,Yes,serigraph-print,,,,,,Yes,"Products only",,No,,,"No layout updates",
LANDSCAPE,"Default Category/CATEGORIES/ART/DRAWING",1,Yes,landscape,,,,,,Yes,"Products only",,No,,,"No layout updates",
CUSHIONS,"Default Category/CATEGORIES/DECOR & FURNISHING",1,Yes,cushions,,,,,,Yes,"Products only",,No,,,"No layout updates",
"CUSHIONS WITH INSERT","Default Category/CATEGORIES/DECOR & FURNISHING/CUSHIONS",1,Yes,cushions-with-insert,,,,,,Yes,"Products only",,No,,,"No layout updates",
"INFONAUTS root",1,1,Yes,,,,,,,Yes,"Products only",,No,,,"No layout updates",
CATEGORIES,"INFONAUTS root",1,Yes,categories,,,,,,Yes,"Products only",,No,,,"No layout updates",
CUSHIONS,"INFONAUTS root/CATEGORIES",1,Yes,cushions,,,,,,Yes,"Products only",,No,,,"No layout updates",
HOOKS,"INFONAUTS root/CATEGORIES",1,Yes,hooks,,,,,,Yes,"Products only",,No,,,"No layout updates",
